,datetime,sender,text
0,"04/12/17, 4:49:26 AM",Didige, Brooo
1,"04/12/17, 4:50:09 AM",Didige, Can you get some stuff for me ?
2,"04/12/17, 7:55:21 AM",Sush, Hiii
3,"04/12/17, 7:56:07 AM",Sush, Like what? Sli hard now 
4,"04/12/17, 8:01:26 AM",Didige, No no ordering
5,"04/12/17, 8:01:39 AM",Didige, I'll get it delivered
6,"04/12/17, 8:01:43 AM",Sush, Sure! If it'll arrive by tomorrow though!
7,"04/12/17, 8:01:46 AM",Didige, Like to your address
8,"04/12/17, 8:01:53 AM",Didige, Damnnn🙊🙈
9,"04/12/17, 8:01:57 AM",Sush, I leave wed morning
10,"04/12/17, 8:02:13 AM",Sush, It's Monday morning now
11,"04/12/17, 8:02:55 AM",Sush, See if you can find express one day shipping or something
12,"04/12/17, 8:03:14 AM",Didige, It's on Amazon
13,"04/12/17, 8:06:38 AM",Sush, Ohh the shortest time is 2 day?
14,"04/12/17, 8:06:51 AM",Sush, Damn 
15,"04/12/17, 8:07:15 AM",Didige, Let me check how long
16,"04/12/17, 8:07:27 AM",Sush, Ya see if they have a one day
17,"04/12/17, 8:18:09 AM",Didige, Give me your address
18,"04/12/17, 10:12:20 AM",Sush, 5433 s hyde park blvd
19,"04/12/17, 10:12:24 AM",Sush, Apt 2
20,"04/12/17, 10:12:34 AM",Sush," Chicago, IL 60615"
21,"05/12/17, 6:24:37 PM",Sush, Nothing came yet!
22,"05/12/17, 6:24:51 PM",Sush, Order kiya aapne?
23,"06/12/17, 3:56:17 AM",Didige, No da
24,"06/12/17, 3:56:23 AM",Didige, They didn't have
25,"06/12/17, 3:56:28 AM",Didige, Sorry I didn't update
26,"06/12/17, 10:16:18 AM",Sush, Ayy ok
27,"06/12/17, 10:16:23 AM",Sush, In airport 
28,"06/12/17, 10:33:58 AM",Didige, Yayyyyyy!
29,"06/12/17, 10:49:56 AM",Sush, 🙌🏾🙌🏾🙌🏾
30,"06/12/17, 10:50:03 AM",Sush, You're in Hyd no???
31,"06/12/17, 10:50:14 AM",Didige, Yaaa
32,"06/12/17, 10:50:21 AM",Sush, Yaaaay!!!
33,"[06/12/17, 10:50:33 AM",Sush, ‎image omitted
34,"06/12/17, 10:50:47 AM",Sush, Post exam sleep deprived selfie 4 u
35,"06/12/17, 10:50:55 AM",Didige, Hahahah
36,"06/12/17, 10:50:57 AM",Didige, Hello
37,"06/12/17, 10:51:01 AM",Sush, Also injured lip lol
38,"06/12/17, 10:51:06 AM",Sush, I'll tell you when I'm home
39,"06/12/17, 10:51:20 AM",Didige, Shadyyy
40,"06/12/17, 10:51:23 AM",Sush, I slammed into a door
41,"06/12/17, 10:51:25 AM",Sush, Lol
42,"06/12/17, 10:51:35 AM",Sush, And my lips were swollen for two days
43,"06/12/17, 10:51:36 AM",Didige, 🤣🤣🤣🤣🤣
44,"06/12/17, 10:51:49 AM",Sush, My friends didn't know whether to laugh or comfort
45,"06/12/17, 10:51:58 AM",Sush, I was shocked
46,"06/12/17, 10:52:00 AM",Didige, Ya
47,"06/12/17, 10:52:02 AM",Sush, Then I laughed
48,"06/12/17, 10:52:08 AM",Sush, Then I burst into tears
49,"06/12/17, 10:52:11 AM",Sush, 😅
50,"06/12/17, 10:52:13 AM",Didige, Whuy
51,"06/12/17, 10:52:14 AM",Didige, Whut
52,"06/12/17, 10:52:16 AM",Didige, Whyyy
